iter	RMSE
0	35.85185167
1	34.47927111
2	33.16012477
3	31.86641661
4	30.62455545
5	29.42067981
6	28.27306289
7	27.18399323
8	26.14307792
9	25.16162405
10	24.21377453
11	23.25900966
12	22.34811618
13	21.48481338
14	20.66396644
15	19.88047397
16	19.12301222
17	18.36427279
18	17.68185283
19	17.01055105
20	16.40094078
21	15.74394529
22	15.13067333
23	14.56733481
24	14.02210781
25	13.49302293
26	12.95044556
27	12.477134
28	12.03386697
29	11.6023281
30	11.17601603
31	10.78202902
32	10.39606092
33	9.997782074
34	9.665118379
35	9.327669513
36	8.971392171
37	8.649465311
38	8.33852275
39	8.040134176
40	7.754745492
41	7.486426011
42	7.208787662
43	6.956021561
44	6.708773591
45	6.484291678
46	6.276014482
47	6.07114173
48	5.869089647
49	5.686129063
50	5.522965135
51	5.315813386
52	5.13657718
53	4.975489535
54	4.794995407
55	4.61825472
56	4.468549246
57	4.339218209
58	4.212909521
59	4.056149168
60	3.924542959
61	3.808892506
62	3.666265255
63	3.547183576
64	3.456532134
65	3.362444778
66	3.276669696
67	3.19147234
68	3.081429132
69	2.965339535
70	2.864497589
71	2.78940521
72	2.72452349
73	2.633191493
74	2.567066859
75	2.502215047
76	2.449757681
77	2.370004225
78	2.293540047
79	2.211602149
80	2.140741387
81	2.083570131
82	2.010982838
83	1.973903797
84	1.933131316
85	1.89835864
86	1.834070062
87	1.800251147
88	1.769797179
89	1.736090434
90	1.684643138
91	1.634008701
92	1.58710552
93	1.536775062
94	1.494168369
95	1.470414925
96	1.425502905
97	1.391169139
98	1.370684843
99	1.34966807
100	1.325910083
101	1.291830071
102	1.258036174
103	1.222956029
104	1.207080837
105	1.177907404
106	1.163151856
107	1.147949443
108	1.132807064
109	1.10633531
110	1.078090438
111	1.051343117
112	1.02603216
113	1.015587274
114	0.9921463401
115	0.9815723982
116	0.9710069137
117	0.9605531753
118	0.9437703688
119	0.9346660185
120	0.9165859606
121	0.8993208235
122	0.8898551783
123	0.8825285835
124	0.8753046758
125	0.8592712549
126	0.8520304968
127	0.8376268306
128	0.8302267225
129	0.8233827321
130	0.8176111082
131	0.8115229451
132	0.7980738008
133	0.7922419231
134	0.7796628833
135	0.7744101833
136	0.768428418
137	0.7634896391
138	0.7519253859
139	0.7410940166
140	0.7362229906
141	0.7272842575
142	0.7222221164
143	0.7175326597
144	0.7132978753
145	0.7090525395
146	0.7056965675
147	0.702053255
148	0.6973142319
149	0.6936821353
150	0.6898358399
151	0.6867792475
152	0.6779180997
153	0.6693458072
154	0.6609678099
155	0.653731826
156	0.6503466951
157	0.643335184
158	0.6368492905
159	0.6335215674
160	0.6268997242
161	0.620741232
162	0.6178159603
163	0.6148340393
164	0.6116630805
165	0.6090973014
166	0.6033222312
167	0.6004552649
168	0.5951084456
169	0.5901103506
170	0.5854386438
171	0.5810139806
172	0.5782183615
173	0.5750513399
174	0.5712876622
175	0.5685067726
176	0.5642449511
177	0.5617029327
178	0.5592079789
179	0.555406627
180	0.5531483312
181	0.550978446
182	0.5473610778
183	0.5446437905
184	0.5431485314
185	0.5402233057
186	0.538181789
187	0.5363559875
188	0.5347716741
189	0.5331930108
190	0.5314384061
191	0.5299295565
192	0.5272489592
193	0.5255222316
194	0.5229703147
195	0.5214979942
196	0.5191384053
197	0.5168956669
198	0.5156366158
199	0.5143849982
200	0.5122554506
201	0.5111373127
202	0.5098278063
203	0.5077883983
204	0.5057456956
205	0.5031906548
206	0.5014768818
207	0.4996109529
208	0.497547172
209	0.4961972926
210	0.4946898388
211	0.4931931413
212	0.4912269578
213	0.4890739514
214	0.4873555092
215	0.4862379256
216	0.4851399329
217	0.4834368395
218	0.4821617683
219	0.4813087
220	0.4795182337
221	0.4780320615
222	0.476316013
223	0.4753702105
224	0.4743618079
225	0.4728714329
226	0.4719739028
227	0.470265055
228	0.4690817645
229	0.4679734191
230	0.4662834167
231	0.4655894895
232	0.464262235
233	0.4630579559
234	0.4613193537
235	0.4598632259
236	0.4591171278
237	0.4585799809
238	0.4576899641
239	0.4568376173
240	0.4555626228
241	0.4545196185
242	0.4530302826
243	0.4525122676
244	0.4516131714
245	0.4503645949
246	0.4492122452
247	0.4482237734
248	0.4472042934
249	0.4458056043
250	0.4449743011
251	0.4443992654
252	0.4431999474
253	0.4418752319
254	0.4405750717
255	0.4391771448
256	0.4379041271
257	0.4372271704
258	0.4362365635
259	0.4350646195
260	0.4338220645
261	0.4331203295
262	0.4319654381
263	0.431312432
264	0.4300765066
265	0.4292097904
266	0.4285746012
267	0.4273827509
268	0.4265324418
269	0.4257098104
270	0.4250443319
271	0.4243816113
272	0.4237730158
273	0.4232903436
274	0.422674986
275	0.4219947189
276	0.4213545524
277	0.4207904251
278	0.4203245153
279	0.4197295485
280	0.4185904457
281	0.4178646918
282	0.4170915293
283	0.4164072915
284	0.4160282645
285	0.4156739315
286	0.4152322307
287	0.4142221518
288	0.4133303556
289	0.412432095
290	0.4121517756
291	0.4114472966
292	0.4104492345
293	0.4095372631
294	0.4090546242
295	0.4083395578
296	0.4078724722
297	0.4070159118
298	0.4061336068
299	0.4053869675
300	0.4045065602
301	0.4040645501
302	0.4033068697
303	0.4024590524
304	0.4021870866
305	0.4013711309
306	0.4008613164
307	0.4002345212
308	0.3995085811
309	0.399265223
310	0.3988155835
311	0.3983138475
312	0.3977473213
313	0.397323138
314	0.3965332597
315	0.3957698524
316	0.395026409
317	0.3943440237
318	0.3935771909
319	0.3930449246
320	0.3927545055
321	0.3924830205
322	0.3921414219
323	0.3915887999
324	0.3909254144
325	0.3902641641
326	0.3898217249
327	0.3892984782
328	0.3889291932
329	0.3881714196
330	0.3872953759
331	0.386675561
332	0.3861965736
333	0.38577099
334	0.3853566989
335	0.3849161022
336	0.3842473939
337	0.3836902029
338	0.3831337082
339	0.3826274791
340	0.3820174855
341	0.3813617763
342	0.3810124061
343	0.380711016
344	0.380357104
345	0.3800110142
346	0.3794409816
347	0.3789938678
348	0.3784181597
349	0.3781522235
350	0.3775829065
351	0.3771000345
352	0.3765937744
353	0.3761332619
354	0.375544239
355	0.3751731643
356	0.3747612404
357	0.3743037327
358	0.3736121354
359	0.3731777646
360	0.3727062704
361	0.3721609916
362	0.3717747323
363	0.371305156
364	0.371008563
365	0.3707527183
366	0.370368058
367	0.3699946185
368	0.369686265
369	0.3692428088
370	0.3687526058
371	0.3682711695
372	0.3677702758
373	0.3673209967
374	0.3669828526
375	0.3666193306
376	0.3663090935
377	0.3656917149
378	0.365395418
379	0.3647988669
380	0.3643150445
381	0.3639260922
382	0.3635739698
383	0.3632544635
384	0.3627853233
385	0.3623782795
386	0.3622193065
387	0.3619711344
388	0.3617299524
389	0.3615116343
390	0.3611047408
391	0.3608402658
392	0.3604040482
393	0.3600763555
394	0.3596602737
395	0.3595136107
396	0.3590917186
397	0.3586498571
398	0.3583689578
399	0.3579476269
400	0.3577830975
401	0.3575081697
402	0.3572238104
403	0.3569118316
404	0.3564878271
405	0.3560709828
406	0.355672322
407	0.3552489694
408	0.3549611842
409	0.3545825441
410	0.3543252956
411	0.3540672716
412	0.3537035446
413	0.3533393225
414	0.3529690332
415	0.3526091285
416	0.3523631237
417	0.3520292117
418	0.3518225203
419	0.3515832441
420	0.3510199734
421	0.3507289971
422	0.3504831704
423	0.3502951611
424	0.3499433258
425	0.3497569335
426	0.3494348807
427	0.34889619
428	0.3486366085
429	0.3484091417
430	0.3481814607
431	0.347809542
432	0.3475959223
433	0.3473936162
434	0.3470055609
435	0.3467661782
436	0.3463733133
437	0.3459351379
438	0.3456119498
