iter	Passed	Remaining
0	1	1054
1	1	746
2	1	634
3	2	576
4	2	543
5	3	519
6	3	501
7	3	488
8	4	479
9	4	470
10	5	465
11	5	458
12	5	452
13	6	447
14	6	443
15	7	440
16	7	437
17	7	423
18	8	421
19	8	421
20	9	420
21	9	410
22	9	408
23	10	407
24	10	406
25	10	405
26	11	403
27	11	402
28	11	401
29	12	400
30	12	400
31	13	399
32	13	399
33	14	398
34	14	397
35	14	396
36	15	395
37	15	395
38	16	394
39	16	393
40	16	391
41	17	390
42	17	390
43	17	389
44	18	387
45	18	386
46	19	385
47	19	385
48	19	384
49	20	384
50	20	384
51	21	383
52	21	380
53	21	379
54	22	378
55	22	378
56	22	377
57	23	377
58	23	377
59	24	377
60	24	376
61	24	376
62	25	375
63	25	375
64	26	374
65	26	374
66	26	373
67	27	373
68	27	373
69	28	372
70	28	372
71	28	371
72	29	371
73	29	370
74	30	370
75	30	370
76	30	369
77	31	369
78	31	369
79	32	368
80	32	368
81	32	367
82	33	367
83	33	366
84	34	366
85	34	363
86	34	363
87	35	363
88	35	362
89	35	362
90	36	361
91	36	361
92	37	361
93	37	360
94	37	360
95	38	359
96	38	359
97	39	359
98	39	358
99	39	358
100	40	357
101	40	357
102	40	356
103	41	356
104	41	356
105	42	355
106	42	355
107	42	355
108	43	354
109	43	354
110	44	353
111	44	353
112	44	352
113	45	352
114	45	352
115	46	353
116	46	354
117	47	354
118	47	354
119	48	354
120	48	353
121	49	353
122	49	353
123	49	352
124	50	352
125	50	352
126	51	351
127	51	351
128	52	351
129	52	351
130	52	350
131	53	350
132	53	349
133	54	349
134	54	349
135	54	348
136	55	348
137	55	347
138	56	347
139	56	346
140	56	346
141	57	346
142	57	345
143	58	345
144	58	344
145	58	344
146	59	344
147	59	343
148	60	343
149	60	342
150	60	342
151	61	342
152	61	341
153	62	341
154	62	340
155	62	340
156	63	340
157	63	339
158	64	339
159	64	338
160	64	338
161	65	338
162	65	337
163	66	337
164	66	337
165	67	336
166	67	336
167	67	335
168	68	335
169	68	335
170	69	334
171	69	334
172	69	334
173	70	333
174	70	333
175	71	332
176	71	332
177	71	332
178	72	331
179	72	331
180	73	331
181	73	330
182	74	330
183	74	330
184	74	329
185	75	329
186	75	328
187	76	328
188	76	328
189	76	327
190	77	327
191	77	326
192	78	326
193	78	325
194	78	325
195	79	324
196	79	324
197	80	324
198	80	323
199	80	323
200	81	322
201	81	322
202	81	321
203	82	321
204	82	321
205	83	320
206	83	320
207	83	319
208	84	319
209	84	318
210	85	318
211	85	318
212	85	317
213	86	317
214	86	316
215	87	316
216	87	315
217	87	315
218	88	314
219	88	314
220	89	314
221	89	313
222	89	313
223	90	312
224	90	312
225	91	311
226	91	311
227	91	311
228	92	310
229	92	310
230	93	309
231	93	309
232	93	308
233	94	308
234	94	308
235	95	307
236	95	307
237	95	306
238	96	306
239	96	305
240	97	305
241	97	305
242	97	304
243	98	304
244	98	303
245	98	303
246	99	303
247	99	302
248	100	302
249	100	301
250	100	301
251	101	300
252	101	300
253	102	300
254	102	299
255	102	299
256	103	298
257	103	298
258	104	298
259	104	297
260	104	297
261	105	296
262	105	296
263	106	296
264	106	295
265	106	295
266	107	294
267	107	294
268	108	294
269	108	293
270	109	293
271	109	292
272	109	292
273	110	291
274	110	291
275	110	291
276	111	290
277	111	290
278	112	289
279	112	289
280	112	288
281	113	288
282	113	288
283	114	287
284	114	287
285	114	286
286	115	286
287	115	285
288	116	285
289	116	285
290	116	284
291	117	284
292	117	283
293	118	283
294	118	283
295	118	282
296	119	282
297	119	281
298	120	281
299	120	281
300	120	280
301	121	280
302	121	279
303	122	279
304	122	279
305	122	278
306	123	278
307	123	277
308	124	277
309	124	276
310	124	276
311	125	276
312	125	275
313	126	276
314	127	276
315	127	276
316	127	275
317	128	275
318	128	274
319	129	274
320	129	274
321	129	273
322	130	273
323	130	272
324	131	272
325	131	271
326	131	271
327	132	271
328	132	270
329	133	270
330	133	269
331	133	269
332	134	269
333	134	268
334	135	268
335	135	267
336	135	267
337	136	267
338	136	266
339	137	266
340	137	266
341	138	265
342	138	265
343	138	264
344	139	264
345	139	263
346	140	263
347	140	263
348	140	262
349	141	262
350	141	261
351	142	261
352	142	261
353	142	260
354	143	260
355	143	260
356	144	259
357	144	259
358	145	259
359	145	258
360	145	258
361	146	257
362	146	257
363	147	256
364	147	256
365	147	256
366	148	255
367	148	255
368	149	254
369	149	254
370	149	254
371	150	253
372	150	253
